variable,block,adf_stat,adf_pval,kpss_stat,kpss_pval,n_diffs_applied,seasonal_diff_applied,final_status
population_growth,driver,-8.008841705049816,2.2295474847481225e-12,0.05242774872264757,0.1,1,True,stationary
urbanization_rate,driver,-4.444293140096772,0.0002476033250792311,0.27572261767610085,0.1,0,True,stationary
fossil_fuel_consumption,driver,-10.542365238522855,8.584459215787109e-19,0.06017490437122584,0.1,1,True,stationary
electricity_demand,driver,-3.2642234386031146,0.01655541965044116,0.4353224535763097,0.06192997690676306,0,True,stationary
co2_emissions,driver,-3.197346285811103,0.020138801392881097,0.1681207688590715,0.1,0,True,stationary
methane_emissions,driver,-2.9202496927957045,0.043043399551184164,0.4548118632898988,0.05352936927159535,0,True,stationary
forest_cover_loss,driver,-3.448576137544961,0.009410258454395437,0.18241781386344533,0.1,0,True,stationary
trade_volume,driver,-3.9559843021905423,0.0016593627460757764,0.23186669863473863,0.1,0,True,stationary
military_spending,driver,-9.30028395099924,1.1172761298923187e-15,0.054919701399094766,0.1,1,True,stationary
global_temp_anomaly,climate,-5.35050552284727,4.299774327964069e-06,0.08650917411806511,0.1,0,True,stationary
ocean_heat_content,climate,-3.161632922974127,0.0223157274928576,0.16146084275854203,0.1,0,True,stationary
enso_index,climate,-5.152475618230917,0.00010758111515344654,0.04938486258640323,0.1,0,False,stationary
extreme_weather_freq,climate,-8.154848817415807,9.48043817179384e-13,0.02101550994581971,0.1,0,True,stationary
drought_index,climate,-3.8444508429731523,0.0024839002752146126,0.319359732263705,0.1,0,True,stationary
sea_level_rise,climate,-15.248993054642115,5.039931151415177e-28,0.08624449332385394,0.1,1,True,stationary
carbon_price_volatility,climate_risk,-5.373969774984229,3.840756313979891e-06,0.33826408211692466,0.1,1,False,stationary
climate_policy_uncertainty,climate_risk,-5.155104917898445,1.08502790530581e-05,0.04940652639199401,0.1,0,True,stationary
disaster_freq_volatility,climate_risk,-10.624439350971162,5.410427006615823e-19,0.018206235967830817,0.1,1,False,stationary
temp_anomaly_variance,climate_risk,-4.825091285290958,0.0004232254751586718,0.06613536579186034,0.1,0,False,stationary
vix,financial_risk,-4.952981810319875,0.0002503742746238575,0.11839866290976003,0.1,0,False,stationary
baa_aaa_spread,financial_risk,-12.493443769720988,2.911096186404532e-23,0.017155722977942135,0.1,1,False,stationary
ted_spread,financial_risk,-4.451831367419894,0.0002400381424528956,0.03336691627651397,0.1,0,True,stationary
bank_equity_vol,financial_risk,-3.629921605185942,0.005214093051978209,0.04039585703417385,0.1,0,True,stationary
energy_sector_returns,financial_risk,-3.34491949105017,0.012986147113654598,0.06140322966839263,0.1,1,True,stationary
term_spread,financial_risk,-3.222081492560496,0.018741570793116058,0.15194665782881475,0.1,0,True,stationary
