year,co2_mt
1990,22732.145
1991,23205.592
1992,22520.424
1993,22749.873
1994,22974.598
1995,23516.639
1996,24233.477
1997,24380.322
1998,24295.713
1999,24837.771
2000,25511.482
2001,25692.994
2002,26265.332
2003,27652.691
2004,28610.023
2005,29598.951
2006,30594.152
2007,31499.256
2008,32049.66
2009,31513.014
2010,33317.672
2011,34479.988
2012,34954.734
2013,35275.82
2014,35465.695
2015,35403.527
2016,35392.832
2017,35974.609
2018,36734.004
2019,37086.566
2020,35158.23
2021,36866.863
2022,37527.773
2023,38094.039
