,disaster_count
1990-01-01,17
1990-02-01,19
1990-03-01,26
1990-04-01,38
1990-05-01,19
1990-06-01,15
1990-07-01,28
1990-08-01,34
1990-09-01,22
1990-10-01,17
1990-11-01,24
1990-12-01,23
1991-01-01,24
1991-02-01,20
1991-03-01,32
1991-04-01,25
1991-05-01,26
1991-06-01,34
1991-07-01,38
1991-08-01,20
1991-09-01,30
1991-10-01,27
1991-11-01,21
1991-12-01,18
1992-01-01,28
1992-02-01,22
1992-03-01,22
1992-04-01,25
1992-05-01,42
1992-06-01,38
1992-07-01,39
1992-08-01,26
1992-09-01,22
1992-10-01,22
1992-11-01,16
1992-12-01,29
1993-01-01,22
1993-02-01,22
1993-03-01,41
1993-04-01,29
1993-05-01,28
1993-06-01,34
1993-07-01,18
1993-08-01,38
1993-09-01,21
1993-10-01,27
1993-11-01,19
1993-12-01,20
1994-01-01,23
1994-02-01,17
1994-03-01,25
1994-04-01,33
1994-05-01,32
1994-06-01,36
1994-07-01,36
1994-08-01,41
1994-09-01,25
1994-10-01,33
1994-11-01,19
1994-12-01,27
1995-01-01,23
1995-02-01,18
1995-03-01,36
1995-04-01,28
1995-05-01,35
1995-06-01,36
1995-07-01,23
1995-08-01,31
1995-09-01,31
1995-10-01,28
1995-11-01,21
1995-12-01,24
1996-01-01,25
1996-02-01,18
1996-03-01,25
1996-04-01,40
1996-05-01,39
1996-06-01,36
1996-07-01,28
1996-08-01,27
1996-09-01,31
1996-10-01,34
1996-11-01,23
1996-12-01,20
1997-01-01,29
1997-02-01,20
1997-03-01,40
1997-04-01,33
1997-05-01,26
1997-06-01,44
1997-07-01,38
1997-08-01,29
1997-09-01,30
1997-10-01,31
1997-11-01,27
1997-12-01,30
1998-01-01,23
1998-02-01,27
1998-03-01,29
1998-04-01,28
1998-05-01,16
1998-06-01,43
1998-07-01,26
1998-08-01,38
1998-09-01,32
1998-10-01,16
1998-11-01,25
1998-12-01,24
1999-01-01,29
1999-02-01,26
1999-03-01,37
1999-04-01,31
1999-05-01,28
1999-06-01,37
1999-07-01,38
1999-08-01,35
1999-09-01,29
1999-10-01,25
1999-11-01,14
1999-12-01,30
2000-01-01,25
2000-02-01,27
2000-03-01,25
2000-04-01,31
2000-05-01,38
2000-06-01,34
2000-07-01,36
2000-08-01,37
2000-09-01,21
2000-10-01,38
2000-11-01,24
2000-12-01,24
2001-01-01,35
2001-02-01,23
2001-03-01,23
2001-04-01,25
2001-05-01,24
2001-06-01,45
2001-07-01,44
2001-08-01,26
2001-09-01,34
2001-10-01,32
2001-11-01,23
2001-12-01,24
2002-01-01,32
2002-02-01,33
2002-03-01,24
2002-04-01,35
2002-05-01,34
2002-06-01,37
2002-07-01,48
2002-08-01,49
2002-09-01,35
2002-10-01,26
2002-11-01,29
2002-12-01,30
2003-01-01,19
2003-02-01,18
2003-03-01,32
2003-04-01,33
2003-05-01,30
2003-06-01,42
2003-07-01,26
2003-08-01,25
2003-09-01,37
2003-10-01,27
2003-11-01,25
2003-12-01,30
2004-01-01,26
2004-02-01,22
2004-03-01,21
2004-04-01,27
2004-05-01,44
2004-06-01,58
2004-07-01,35
2004-08-01,25
2004-09-01,36
2004-10-01,29
2004-11-01,28
2004-12-01,16
2005-01-01,27
2005-02-01,27
2005-03-01,33
2005-04-01,39
2005-05-01,44
2005-06-01,37
2005-07-01,44
2005-08-01,48
2005-09-01,47
2005-10-01,32
2005-11-01,17
2005-12-01,25
2006-01-01,29
2006-02-01,36
2006-03-01,33
2006-04-01,46
2006-05-01,39
2006-06-01,58
2006-07-01,35
2006-08-01,40
2006-09-01,27
2006-10-01,31
2006-11-01,28
2006-12-01,28
2007-01-01,35
2007-02-01,25
2007-03-01,40
2007-04-01,42
2007-05-01,32
2007-06-01,39
2007-07-01,39
2007-08-01,49
2007-09-01,36
2007-10-01,30
2007-11-01,29
2007-12-01,28
2008-01-01,31
2008-02-01,22
2008-03-01,28
2008-04-01,30
2008-05-01,35
2008-06-01,54
2008-07-01,45
2008-08-01,33
2008-09-01,29
2008-10-01,27
2008-11-01,23
2008-12-01,24
2009-01-01,29
2009-02-01,35
2009-03-01,24
2009-04-01,47
2009-05-01,35
2009-06-01,40
2009-07-01,45
2009-08-01,39
2009-09-01,21
2009-10-01,33
2009-11-01,23
2009-12-01,30
2010-01-01,27
2010-02-01,27
2010-03-01,29
2010-04-01,42
2010-05-01,50
2010-06-01,32
2010-07-01,45
2010-08-01,39
2010-09-01,33
2010-10-01,36
2010-11-01,32
2010-12-01,22
2011-01-01,27
2011-02-01,27
2011-03-01,27
2011-04-01,31
2011-05-01,51
2011-06-01,37
2011-07-01,57
2011-08-01,42
2011-09-01,43
2011-10-01,31
2011-11-01,31
2011-12-01,23
2012-01-01,28
2012-02-01,27
2012-03-01,39
2012-04-01,38
2012-05-01,41
2012-06-01,40
2012-07-01,51
2012-08-01,41
2012-09-01,36
2012-10-01,27
2012-11-01,42
2012-12-01,21
2013-01-01,33
2013-02-01,27
2013-03-01,33
2013-04-01,35
2013-05-01,49
2013-06-01,43
2013-07-01,43
2013-08-01,41
