date,anomaly
1990-01-01,0.41
1990-02-01,0.43
1990-03-01,0.8
1990-04-01,0.56
1990-05-01,0.45
1990-06-01,0.37
1990-07-01,0.46
1990-08-01,0.34
1990-09-01,0.23
1990-10-01,0.44
1990-11-01,0.46
1990-12-01,0.4
1991-01-01,0.42
1991-02-01,0.49
1991-03-01,0.35
1991-04-01,0.51
1991-05-01,0.34
1991-06-01,0.53
1991-07-01,0.47
1991-08-01,0.39
1991-09-01,0.44
1991-10-01,0.29
1991-11-01,0.29
1991-12-01,0.31
1992-01-01,0.47
1992-02-01,0.4
1992-03-01,0.48
1992-04-01,0.27
1992-05-01,0.31
1992-06-01,0.26
1992-07-01,0.09
1992-08-01,0.08
1992-09-01,-0.01
1992-10-01,0.07
1992-11-01,0.03
1992-12-01,0.21
1993-01-01,0.34
1993-02-01,0.37
1993-03-01,0.36
1993-04-01,0.28
1993-05-01,0.28
1993-06-01,0.23
1993-07-01,0.25
1993-08-01,0.11
1993-09-01,0.11
1993-10-01,0.24
1993-11-01,0.03
1993-12-01,0.18
1994-01-01,0.26
1994-02-01,0.02
1994-03-01,0.29
1994-04-01,0.41
1994-05-01,0.28
1994-06-01,0.43
1994-07-01,0.3
1994-08-01,0.21
1994-09-01,0.31
1994-10-01,0.42
1994-11-01,0.44
1994-12-01,0.38
1995-01-01,0.52
1995-02-01,0.79
1995-03-01,0.46
1995-04-01,0.46
1995-05-01,0.27
1995-06-01,0.43
1995-07-01,0.45
1995-08-01,0.45
1995-09-01,0.33
1995-10-01,0.46
1995-11-01,0.44
1995-12-01,0.26
1996-01-01,0.24
1996-02-01,0.46
1996-03-01,0.32
1996-04-01,0.33
1996-05-01,0.27
1996-06-01,0.25
1996-07-01,0.36
1996-08-01,0.48
1996-09-01,0.25
1996-10-01,0.22
1996-11-01,0.41
1996-12-01,0.37
1997-01-01,0.32
1997-02-01,0.4
1997-03-01,0.52
1997-04-01,0.33
1997-05-01,0.34
1997-06-01,0.54
1997-07-01,0.34
1997-08-01,0.41
1997-09-01,0.52
1997-10-01,0.61
1997-11-01,0.64
1997-12-01,0.59
1998-01-01,0.58
1998-02-01,0.88
1998-03-01,0.63
1998-04-01,0.63
1998-05-01,0.68
1998-06-01,0.77
1998-07-01,0.66
1998-08-01,0.65
1998-09-01,0.42
1998-10-01,0.42
1998-11-01,0.43
1998-12-01,0.54
1999-01-01,0.48
1999-02-01,0.64
1999-03-01,0.32
1999-04-01,0.32
1999-05-01,0.26
1999-06-01,0.36
1999-07-01,0.39
1999-08-01,0.31
1999-09-01,0.39
1999-10-01,0.34
1999-11-01,0.37
1999-12-01,0.4
2000-01-01,0.25
2000-02-01,0.56
2000-03-01,0.55
2000-04-01,0.56
2000-05-01,0.35
2000-06-01,0.4
2000-07-01,0.39
2000-08-01,0.42
2000-09-01,0.38
2000-10-01,0.27
2000-11-01,0.3
2000-12-01,0.28
2001-01-01,0.45
2001-02-01,0.43
2001-03-01,0.55
2001-04-01,0.5
2001-05-01,0.57
2001-06-01,0.52
2001-07-01,0.59
2001-08-01,0.48
2001-09-01,0.51
2001-10-01,0.5
2001-11-01,0.72
2001-12-01,0.55
2002-01-01,0.77
2002-02-01,0.78
2002-03-01,0.88
2002-04-01,0.58
2002-05-01,0.64
2002-06-01,0.53
2002-07-01,0.61
2002-08-01,0.53
2002-09-01,0.64
2002-10-01,0.54
2002-11-01,0.59
2002-12-01,0.44
2003-01-01,0.74
2003-02-01,0.58
2003-03-01,0.6
2003-04-01,0.55
2003-05-01,0.6
2003-06-01,0.47
